text,toxic
"Ruben Reyes, You're the only one talking about whether any court ruled that the executive order was unconstitutional.  You can talk about it all you want, but the fact is that both courts determined that the federal administration was likely to lose in subsequent appeals. In another post, you yourself quote a portion of the Ninth Circuit decision that concludes that the executive order would not have made the US safer.",0
"L: Wait 5 minutes and the BCLibs will do a u-turn on that too.
Be careful what you post when you try to defend BCLibs. They don't have your back, and they sure don't have BCers backs either.
BTW, this isn't 'lunatic left wing spending'. These are NDP/Green policies which will benefit more than just the rich in BC. What a concept!",0
"You are extrapolating wildly from my two statements. One, that the poor don't subsidize programs. They don't.  The other was that there is no comparison between first world 'poor' and third world abject poverty. There isn't. I said none of the rest. Those are your words.",0
When did foreign nationals gain the same rights as Canadian citizens?,0
"Trump isn't all that ""pretty"", but you did get the ""[he] has to be the center of attention.Always."" part right.

Also, you over-estimated T-rump's intelligence level by about 8 years.",0
My deepest condolences to the familys.,0
"CFL means Childrens Football League, Can't wait for real football to begin NFL",0
Word meanings evolve over time,0
"132 tons of trash.The bums have nothing to do all day but drink, do drugs and beg and they cant even pick up after themselves. Why help those who refuse to help themselves?",1
"“Extremes to the right and to the left of any political dispute are always wrong.” 

― Dwight D. Eisenhower",0
"Sick, evil kids. Put them in jail forever with no hope of parole. Rest in peace, David Grunwald. May God comfort his parents and loved ones.",1
"It's not surprising that many are Islamophobic, either meaning, when they see on a daily basis the widespread mayhem being created by followers of Islam.",0
Criminals and fine dining-they just go together!,0
"Randy Perreira, executive director of the Hawaii Government Employees Association, ""...The bill also lacks the employee protections that HGEA wants and “raises too many questions at this point,” he added.""

What he means it that it lacks REVENUE for the union.",0
Ha! Yeah right.,0
"Competition is based on skill level. You really don't think there was an open competition at  receiver do you? You really don't think Bennie Fowler and DT were on the same level? You really don't think Will Parks and TJ Ward were having an open competition? The only thing that Paxton Lynch ever did to deserve a shot at the starting QB gig was be a number one pick.
The Little Guy",0
Exactly she is black I don't see her getting out any time soon,0
